vehicle_id,timestamp,latitude,longitude,speed,event_type,braking_event,collision_alert,lane_change
XIY 792,2024-07-17 00:58:35.446481,-19.62588198231599,-71.64091154871106,44.64,normal,0,0,0
XHG 884,2024-02-29 01:54:14.505230,23.196042690891247,132.1552669834669,99.54,braking,1,0,0
MXH 3683,2024-05-21 06:53:45.484387,21.942736012138838,-74.75907231508056,1.96,lane_change,0,0,1
ZGR F97,2024-07-06 23:43:30.683521,32.53869655754794,86.76449809187454,16.77,lane_change,0,0,1
4FU0241,2023-12-21 15:39:34.106584,-88.38767734227702,27.049492483881295,72.54,braking,1,0,0
UEF 821,2024-08-04 02:44:20.758335,-52.39549344902402,-51.09832768211791,8.33,lane_change,0,0,1
UAY 737,2023-10-22 22:46:14.801707,-83.62252816361647,1.00585529542127,68.63,braking,1,0,0
ZKI 002,2023-10-10 17:13:01.371274,-67.28265190733092,-163.55725047035133,43.23,braking,1,0,0
73M KH6,2024-07-25 05:37:59.473135,-30.113312328812484,-91.07416639197564,3.53,lane_change,0,0,1
47H 4121,2024-05-24 09:34:22.515910,-37.09821423596098,-30.464164843693112,99.24,lane_change,0,0,1
5X 4235P,2024-05-18 04:53:15.353508,87.8585385233473,-99.0982350166288,105.2,braking,1,0,0
848 HJH,2024-08-04 09:41:50.148480,-24.990540100562285,-29.332237417868242,96.97,braking,1,0,0
3PU4155,2024-07-28 08:31:31.135298,0.9881991975428406,18.25127013809754,10.48,normal,0,0,0
8NKS 13,2024-02-07 06:22:41.167367,21.9119501067227,-6.829827779904065,98.36,collision,0,1,0
FD4 Q5N,2024-02-12 06:08:58.590419,54.08596117527381,-130.41264442047222,45.7,normal,0,0,0
385QOW,2023-12-28 13:16:51.407553,51.40190699493459,-133.53645035992406,2.79,braking,1,0,0
52H 0832,2024-02-10 05:47:40.188100,-7.3486466923214095,-57.91817952918785,12.84,lane_change,0,0,1
E33-WGD,2024-06-03 03:26:47.484433,-77.5492962413509,-8.368372525198822,53.95,collision,0,1,0
1KA5191,2023-11-11 10:31:11.186144,-52.06193376350963,147.60122886744392,22.13,collision,0,1,0
002 3564,2024-06-28 16:18:30.832757,2.67593724771406,55.111113925981385,48.9,braking,1,0,0
HJG-4416,2023-12-07 01:23:21.394281,-87.51187756199214,175.29481314485702,43.34,normal,0,0,0
924 EN9,2024-01-13 05:25:26.126000,31.28481518457494,-132.52112869994636,37.64,collision,0,1,0
337 SVP,2024-04-06 03:24:45.616272,-15.71327422313243,-123.25684015405045,99.47,collision,0,1,0
886 UJH,2024-01-04 23:31:53.262883,70.83162989255348,160.20909651085043,22.75,collision,0,1,0
29-6344Z,2023-10-22 20:02:53.751318,-44.763441685697664,-87.00814329578279,82.21,normal,0,0,0
PWG0470,2023-11-07 21:14:52.399175,-80.75814711242973,-46.096405019068555,51.32,normal,0,0,0
MCN 876,2023-12-22 04:58:26.375305,32.840525887212735,-9.514346575184447,94.68,lane_change,0,0,1
598 US1,2024-06-01 01:13:24.314416,-62.28823224257292,-118.67283034929255,119.82,lane_change,0,0,1
TPM-2053,2024-03-21 20:49:08.875958,-52.944583965521744,-110.96882561191623,81.62,lane_change,0,0,1
E38 4RR,2023-12-13 01:32:08.715122,47.57358121136667,-164.34189174863783,14.67,collision,0,1,0
XL9 6569,2024-01-17 15:51:19.939342,81.307612487169,164.15766326366025,63.65,braking,1,0,0
60O G14,2023-11-03 08:49:42.887378,81.99437213703831,41.12532383805973,6.46,braking,1,0,0
N71-KGR,2024-08-26 10:45:44.109408,46.54489398611133,54.57945937035535,110.58,braking,1,0,0
14K B60,2023-09-25 13:45:53.923718,49.95626501084183,171.98256138066,25.44,normal,0,0,0
201 SOZ,2024-03-23 11:01:55.355394,-70.99899458889834,-2.372843895598834,81.65,collision,0,1,0
213 IPC,2024-06-03 13:36:23.500213,83.87991853021077,174.25420805220517,101.11,braking,1,0,0
X17-89O,2024-01-20 03:06:23.378153,-29.792390801954205,-8.898007850196365,32.16,collision,0,1,0
307RU,2024-07-02 11:33:44.293165,49.45603346093472,16.87434404812379,73.42,collision,0,1,0
HPK 146,2023-11-12 14:48:02.788371,-17.206811225445563,111.80564357621472,67.01,normal,0,0,0
843-UMJ,2023-12-09 02:03:38.915533,-37.658710849238936,4.886366345296295,46.98,collision,0,1,0
645 GCM,2024-09-03 20:45:26.058125,64.19594497780244,39.98857348670202,96.18,collision,0,1,0
UUT-0944,2024-03-08 15:13:48.246533,19.54222170715282,149.98345294700323,2.57,normal,0,0,0
867-ZVH,2024-05-17 09:58:07.406182,28.572751077411255,-160.78457404574567,42.6,lane_change,0,0,1
DUI 243,2023-11-29 05:16:07.248181,-87.85529793925417,106.18019628502009,119.71,lane_change,0,0,1
2GK66,2023-12-11 20:56:56.571662,-60.00252258774469,102.62875500471438,103.81,lane_change,0,0,1
799-UUX,2024-09-11 17:35:09.342386,67.0556142179677,80.01446533780512,44.99,normal,0,0,0
6DCU 99,2024-01-20 13:10:23.638918,53.488841426798416,14.796504854654728,85.53,normal,0,0,0
HKR 661,2024-02-04 17:23:04.392238,-3.3690158086660063,-19.397188780548362,67.06,lane_change,0,0,1
2L 2H1ZTQ,2023-10-29 03:31:28.119988,-12.686528511760756,-136.43735938349312,9.21,lane_change,0,0,1
KXR-082,2024-07-23 02:41:21.597608,50.769919587893156,-108.77453257700662,41.57,lane_change,0,0,1
HCM-1559,2023-12-05 08:44:15.536998,-19.23013976695721,84.99149282988515,27.22,braking,1,0,0
317YB,2024-03-04 10:46:59.482684,81.81638875480186,-76.90037900389022,95.11,normal,0,0,0
QOH 879,2024-02-20 23:01:50.756910,32.04487909139576,118.29719530241658,48.56,braking,1,0,0
DJW 630,2024-05-08 05:10:40.033598,-9.647966028035569,92.39025260040825,1.87,braking,1,0,0
NNT-338,2023-12-07 02:49:35.579264,-18.695553547427366,-60.27989504889486,95.21,lane_change,0,0,1
HHT-587,2024-03-25 15:04:55.845565,-73.64949989755652,168.6838388132486,61.95,braking,1,0,0
691-HRRD,2023-09-28 18:50:19.162189,-37.29400973236415,-89.92662737387285,84.15,lane_change,0,0,1
0-74046S,2024-08-13 23:27:12.561724,48.87042814534442,-25.462751438726627,14.32,normal,0,0,0
726Q,2023-11-20 03:09:22.092744,-63.24345598345762,47.50986966425518,58.27,braking,1,0,0
7NM R83,2024-01-29 12:28:40.540536,-33.09664689418044,95.44954154234347,64.2,braking,1,0,0
P43 3NA,2024-08-20 02:11:18.595631,72.6279763618667,-167.87891704259937,26.65,collision,0,1,0
BL 2142,2024-01-26 01:31:10.884094,47.74017771353422,45.8592439073517,1.69,lane_change,0,0,1
067-BNZ,2024-03-20 21:38:56.989584,-48.66060314308901,-116.72543404547295,53.2,lane_change,0,0,1
WEA 9576,2024-02-12 19:02:28.648489,-33.97191142197046,157.95018963065468,32.88,normal,0,0,0
391Z7,2024-02-09 04:11:18.125354,-3.2092569232964365,-152.0145782038787,21.97,braking,1,0,0
KZJ 232,2024-06-24 21:09:47.115317,-14.570747710220232,-1.3700535520985397,114.66,lane_change,0,0,1
470IPB,2024-03-31 00:20:18.956123,-7.743445447120337,175.79723350523142,71.03,collision,0,1,0
918-XBU,2024-08-09 10:33:24.601784,-23.54583378172363,26.076732220459462,56.42,normal,0,0,0
WKE-1802,2024-05-29 01:02:22.652786,-39.88221962404511,-28.42017551526027,102.51,normal,0,0,0
DYL 777,2024-01-01 04:30:26.223034,15.633401604002373,-170.16115001080144,33.76,lane_change,0,0,1
1M 53294,2024-04-20 03:47:40.481279,25.186306877786393,-135.56229530404926,47.3,lane_change,0,0,1
4C 5837S,2024-01-27 23:43:14.523188,-73.00293078004067,-137.76915547697268,64.01,lane_change,0,0,1
373N3,2024-03-27 18:15:05.476600,16.51625043852161,26.325022552803745,6.37,lane_change,0,0,1
953 BQP,2024-08-01 15:53:12.282591,52.0681218433987,-133.59296989451178,34.11,braking,1,0,0
PZC-5520,2023-09-26 21:00:57.841256,-81.97892728134269,-131.42269483971762,68.86,lane_change,0,0,1
A46 8HR,2024-08-10 10:04:11.515216,84.70215876010485,-20.38503659962126,21.23,collision,0,1,0
IMH-350,2023-09-26 20:53:03.708596,-58.484934458780884,124.93641469960733,72.75,normal,0,0,0
WGK 861,2024-05-14 17:37:47.226997,69.22003949378018,-153.3823830614014,47.41,collision,0,1,0
463-KKW,2024-01-02 17:42:56.576991,18.921439021108327,143.94947689647336,0.37,normal,0,0,0
6TFV798,2024-07-24 13:40:01.068319,36.388551800433575,-55.432218495781584,90.76,collision,0,1,0
140 CJO,2024-02-18 02:08:30.958990,10.445170600105428,-75.41138598319104,48.13,lane_change,0,0,1
LFD 743,2024-01-27 06:03:11.030719,9.58878122122691,111.79079283019985,88.84,lane_change,0,0,1
236 AT5,2023-09-15 19:22:36.968427,-42.591609153378705,-150.99577013337822,17.33,normal,0,0,0
8PH 798,2024-02-19 14:33:52.496855,-60.77883042220043,54.80047648056683,25.98,braking,1,0,0
16A K68,2024-01-06 05:49:50.514358,-43.61159367939158,-50.106559341805024,93.51,collision,0,1,0
8VP9569,2024-04-06 02:50:28.065807,54.58107853982847,68.7829791034402,78.45,lane_change,0,0,1
RPO3190,2024-05-11 16:56:16.018313,24.61699914888277,58.472906404948475,19.49,braking,1,0,0
738-082,2024-09-03 16:30:46.898394,-82.35184360398426,-48.24169039893576,76.78,lane_change,0,0,1
8E 8573O,2024-03-12 19:42:52.760616,7.282351037917962,-148.4143100503133,3.26,collision,0,1,0
9-R9815,2023-10-30 23:39:07.028998,-20.62843197257493,-153.7985730014967,28.44,normal,0,0,0
QQB-329,2024-02-12 21:26:34.980830,1.4433188546684335,55.32190255870532,56.15,normal,0,0,0
AMN X79,2024-07-26 17:55:38.558859,23.17192596216411,-109.54540613441456,33.48,braking,1,0,0
PVT 699,2024-02-04 03:09:17.171968,-79.17373907603742,82.90596955727676,117.76,lane_change,0,0,1
KCM-6367,2024-06-25 21:13:56.599973,-53.4372895569145,-160.7501145450683,17.25,normal,0,0,0
242 QWR,2024-07-15 21:15:36.922501,-30.74919727316169,147.3328561332026,83.99,braking,1,0,0
828-DUZ,2024-01-25 04:16:12.556541,-19.39491687078457,-155.81481921076272,37.17,lane_change,0,0,1
ADQ-7239,2024-09-06 09:44:42.908798,81.27623716125086,-42.3066923069527,47.76,lane_change,0,0,1
79R 3750,2024-05-16 11:48:45.999186,21.612959712860146,36.66135441232228,9.17,lane_change,0,0,1
7VE V14,2024-05-03 02:58:04.273920,26.543611918583935,-44.784534001775995,116.24,normal,0,0,0
IBK-307,2023-10-19 11:27:46.692495,87.40338623889636,70.4068296881297,53.36,normal,0,0,0
2-A2047,2023-09-17 02:23:34.584156,-26.07200400960165,96.213994108039,83.8,normal,0,0,0
9IHH431,2024-05-14 00:29:57.538564,89.50350171551057,137.23975234719262,72.77,lane_change,0,0,1
ZZF-6777,2023-09-18 02:56:13.598480,69.43459550689471,-37.79517892462181,28.13,braking,1,0,0
18R P32,2024-07-12 23:33:26.872563,-29.88168655825418,153.88543814053054,47.15,lane_change,0,0,1
60-4421G,2024-01-12 13:40:42.021926,1.0063551423692019,22.674393768467525,93.98,normal,0,0,0
Q12 0MG,2024-06-21 02:33:44.138425,7.729584945570636,-33.44417103776897,81.33,lane_change,0,0,1
IGA 103,2024-02-18 01:08:00.034752,44.47783902647984,-8.078030405579028,10.67,braking,1,0,0
98G•886,2023-11-04 15:36:04.883807,76.54055618179254,67.2850957059263,32.89,lane_change,0,0,1
O29-85V,2023-12-08 15:37:00.296922,-80.25103787746934,129.59173822276176,39.48,normal,0,0,0
5HOS472,2024-06-12 05:15:40.030406,52.167852035139674,-166.0874137166707,84.59,braking,1,0,0
982 XST,2023-11-27 03:42:31.010300,10.626310491456337,-98.91208780708915,17.68,collision,0,1,0
3GG2014,2023-11-18 16:09:39.482430,5.816267068762656,-150.1087584961315,16.11,lane_change,0,0,1
HXL 443,2024-03-29 16:51:54.917964,22.520927099679938,-29.13111724819902,54.03,braking,1,0,0
V68 6SU,2024-03-27 00:19:48.081302,48.59167222119345,-38.418459756973164,66.65,braking,1,0,0
64B YW0,2024-03-19 15:01:00.365702,30.59003512805205,-102.65221876540807,108.25,normal,0,0,0
PCT-5644,2024-05-29 17:22:46.293753,-14.58678362108715,19.185663794771017,89.64,lane_change,0,0,1
4R TF581,2024-05-14 02:54:37.962235,5.703090769150947,63.90003651582569,73.25,normal,0,0,0
BOU 465,2023-10-19 08:58:27.210216,-79.97652348546633,-47.729205259688456,7.71,lane_change,0,0,1
497GH,2023-11-24 18:40:47.447961,-46.49521794758802,25.20641195409985,100.26,braking,1,0,0
56S J99,2023-11-23 23:47:48.289475,84.1925259385732,161.59187467571195,41.89,lane_change,0,0,1
693 TLA,2023-09-24 19:23:25.501900,-16.38900908583456,35.70225541227808,63.23,lane_change,0,0,1
VV-9596,2024-07-31 17:41:07.687450,21.245307317498202,161.29302429491105,29.5,braking,1,0,0
8365 RO,2024-09-12 17:48:19.032012,-17.151499253578393,-106.91933753360368,30.34,normal,0,0,0
305-PQBO,2024-07-29 06:12:25.259932,8.35040714711377,20.330758737955364,54.42,braking,1,0,0
9-99455A,2023-10-11 16:55:02.208278,-48.65372045109412,-55.09986180992355,110.77,normal,0,0,0
5O U9417,2023-10-28 05:20:44.349692,-22.39856958970759,35.44508297756664,32.92,braking,1,0,0
6YC 236,2024-03-29 00:51:31.677609,-38.530496305355456,-117.39336631835342,53.81,collision,0,1,0
41H Y97,2024-05-11 16:09:48.862511,-22.805475628130267,138.87416306683616,113.68,braking,1,0,0
1-48350,2024-01-24 17:37:02.369782,73.88102348698115,52.305804685882435,55.89,normal,0,0,0
758J,2024-01-24 21:02:06.569704,-46.30030592775228,-109.07305568028819,105.09,collision,0,1,0
47-3967Z,2024-06-04 15:08:18.852419,-79.84098872285304,10.23984396529957,0.31,lane_change,0,0,1
610 GMD,2024-02-26 10:54:13.631723,-23.5650174069454,-65.99602309791484,99.63,braking,1,0,0
551-QFX,2023-09-20 07:23:36.711717,-0.017159494929614993,105.32400434198547,53.56,collision,0,1,0
41F DM8,2024-07-12 18:16:06.377847,-60.01032051192705,40.24857542263479,110.25,lane_change,0,0,1
164 MWW,2024-08-09 00:29:56.109395,64.4858419810866,-156.08835717552833,83.86,collision,0,1,0
22L 8450,2024-07-05 13:19:55.570769,21.852816597969934,-89.69200042218147,60.91,normal,0,0,0
772E9,2023-11-15 21:08:24.648645,-84.39200909387351,-136.68940170768542,6.7,lane_change,0,0,1
555 SZS,2024-09-08 04:59:02.714209,-51.62606061762254,-57.22867346502724,21.09,normal,0,0,0
85F W90,2023-10-19 06:52:19.820059,62.48939083491027,-4.579816275502026,63.12,normal,0,0,0
VWE V02,2023-11-02 23:09:29.790396,6.19985409020093,4.335589987097251,86.01,normal,0,0,0
123S2,2023-12-23 19:46:47.614255,-89.67151737928522,28.44701840360699,105.78,lane_change,0,0,1
505 ZYY,2024-07-12 18:38:44.433734,-3.657572725200083,9.017908435900637,37.7,lane_change,0,0,1
